Date,Adj Close,Close,High,Low,Open,Volume,代码,名称,Adj Close,Close,High,Low,Open,Volume,Adj Close,Close,High,Low,Open,Volume,Adj Close,Close,High,Low,Open,Volume,Adj Close,Close,High,Low,Open,Volume,Adj Close,Close,High,Low,Open,Volume,Adj Close,Close,High,Low,Open,Volume,Adj Close,Close,High,Low,Open,Volume,Adj Close,Close,High,Low,Open,Volume
,HSI,HSI,HSI,HSI,HSI,HSI,,,SPY,SPY,SPY,SPY,SPY,SPY,QQQ,QQQ,QQQ,QQQ,QQQ,QQQ,IWM,IWM,IWM,IWM,IWM,IWM,VTI,VTI,VTI,VTI,VTI,VTI,GLD,GLD,GLD,GLD,GLD,GLD,USO,USO,USO,USO,USO,USO,TLT,TLT,TLT,TLT,TLT,TLT,AGG,AGG,AGG,AGG,AGG,AGG
2020-08-31,,,,,,,AGG,美国综合债券ETF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.91687774658203,118.37000274658203,118.51000213623047,118.13999938964844,118.13999938964844,10894500.0
2020-08-31,,,,,,,GLD,黄金ETF,,,,,,,,,,,,,,,,,,,,,,,,,184.8300018310547,184.8300018310547,185.52999877929688,184.27999877929688,184.7899932861328,10251200.0,,,,,,,,,,,,,,,,,,
2020-08-31,25177.099609375,25177.099609375,25177.099609375,25177.099609375,25177.099609375,0.0,HSI,恒生指数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-31,,,,,,,IWM,罗素2000指数ETF,,,,,,,,,,,,,146.05616760253906,155.42999267578125,157.3699951171875,155.3000030517578,157.19000244140625,17051500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-31,,,,,,,QQQ,纳斯达克100指数ETF,,,,,,,286.3416442871094,294.8800048828125,296.75,292.6199951171875,293.07000732421875,36321000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-31,,,,,,,SPY,标普500指数ETF,325.2488708496094,349.30999755859375,351.29998779296875,349.05999755859375,350.3500061035156,66099200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-31,,,,,,,TLT,20年以上美国国债ETF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.5081787109375,162.19000244140625,163.25,161.55999755859375,161.60000610351562,11388100.0,,,,,,
2020-08-31,,,,,,,USO,原油ETF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.579999923706055,30.579999923706055,30.899999618530273,30.389999389648438,30.899999618530273,3825200.0,,,,,,,,,,,,
2020-08-31,,,,,,,VTI,美国全市场ETF,,,,,,,,,,,,,,,,,,,164.7928009033203,177.27999877929688,178.13999938964844,176.9499969482422,177.66000366210938,3189600.0,,,,,,,,,,,,,,,,,,,,,,,,
